drugName,condition,review,rating,usefulCount
Quetiapine,Bipolar Disorde,"""I&#039;ve been taking quetiapine for bipolar for years and it has changed my life. I can concentrate more and it helps me to think clearly. I take it in conjunction with the anti-depressant amitriptyline. They &#039;iron things out&#039; so that my moods are easier to cope with. That isn&#039;t to say it has &#039;cured&#039; me, but they have improved my condition greatly.""",10.0,14
Ethinyl estradiol / norethindrone,Birth Control,"""I started with loestrin, then pharmacy kept changing and eventually, they gave me this. At first, it seem okay, I had lost a lot of weight before I started taking this pill and before I knew it, I became twice my size, my boobs doubled if not tripled, I was moody all the time and depressed. My period became longer than normal, 5 to 6 heavy  days as opposed to 3 normal with light drops on day 4. I was bleeding heavy for at least 5 days and started feeling cramps, even pains in between was like my period was coming early. I have stopped taking it for about a month now, I am planning a 2 month cleanse then back to Jumel fe. Hopefully, it can be controlled, but please stay away from this and I hope it is discontinued.""",1.0,1
Cyclobenzaprine,Muscle Spasm,"""I have tried this several times.  While it works well for the muscles spasms I can&#039;t function the next day.  I am very confused and looking for something to get it out of my system.
I just read it can stay in your system 5 to 10 days""",2.0,12
Androderm,"Hypogonadism, Male","""Using the androderm patches has helped raise my levels and fell better. However, the patches do not stick, and I must use strips of tape to hold them on.""",8.0,47
ella,Emergency Contraception,"""So I took Ellaone when I wasn&rsquo;t quite sure if I was done ovulating or not just to be cautious as I wasnt on the pill this month trying to get my hormones straight. Only reason I chose this over plan b was because it&rsquo;s what planned parenthood was giving out and I was a bit tight on money. 

I&rsquo;ve taken Plan B which essentially makes your uterus inhospitable. Ella however is made to delay your ovulation 5 days. But then remember the ovulation is DELAYED...therefore your period may be too. Not to mention you will become super fertile after - anyway that is what I was I told. 

My period was 2-3 days late. However my symptoms which I never have were horrible and I can only assume it&rsquo;s because of Ella.""",4.0,0
Lorcaserin,Weight Loss,"""I took my first dose of Belviq XR this morning at 8am with light breakfast. I still felt somewhat hungry for a few hours but the hunger was tolerable. By 2pm I started feeling like I was ready to eat. I had a protein bar and that kept me satisfied until 5pm. I started feeling a slight headache come on, so I ate a light dinner and the dull headache subsided. Around 7pm, I could not get warm and felt very drowsy. I crawled into my bed and watched a little tv until I warmed up. It is now 10pm and I am not running to the kitchen for a bedtime snack! I could eat, yes, but so far I&#039;ve been able to deal with my slight hunger pangs. A little thirsty this evening so I&#039;ve been pounding down the water too. Will update again soon.""",10.0,7
Clindamycin,Bone infection,"""I am currently taking 330 mg capsules after one of my dental implants failed to take and the doc thinks there is an infection.  I don&#039;t know that the medicine is helping that condition, there never has been any pain, swelling or drainage.  However, as many others, the &quot;heartburn&quot; is like I&#039;ve never experienced.  I tolerate pain pretty well, but I was on the verge of tears when I climbed into bed one night.  I honestly thought it might be an oncoming heart attack.  I found taking an ibuprofen with the capsule headed off much of the bother.  Saw nothing listed in the side effects list that came with the medicine, but is frequently mentioned here.""",6.0,13
Elmiron,Interstitial Cystitis,"""I recently started this medication for my ic , the side effects startrd right away . Fatigue, headaches,  severe pain in my lower stomach almost like constipation pains sharp and intense  this would happen about 20-30 mins after taking the medication and the pain would last a few hours before easing up, just in time to take the next dose , pain behind my eyes and the hair on the top of my head stated to hurt ... i stopped taking the medication days later .. I plan on going back to the doctor to find something else.""",2.0,17
Tylenol with Codeine #3,Pain,"""I have needed to get my four wisdom teeth pulled out for 2 years now. And just on this medication until surgery. My  mandible which is my lower jaw and gums are very swollen and infected not so much  pain in my upper areas in my mouth. My dentist prescribed me Tylenol #3 with codeine and antibiotics . Tylenol #3 is a joke it does not help with my pain at all it just makes me very drowsy. When I do rest the pain is still severe.""",1.0,20
Lodine,Pain,"""I had left shoulder hurt when I was a child. About 20 yrs ago, my DR. gave me samples of Lodine. They worked better then any other NSAID out there. I am going back on it now as the problem is worse.""",10.0,24
Yasmin,Birth Control,"""Mood improved dramatically, PMT gone! Completely, and this was becoming a problem as I&#039;m 40 it seemed to be getting worse. I&#039;ve lost a few pounds and find it easier to keep my weight down, it must be the diuretic and no fluid retention. Bigger breasts, bit tender but better with time, I&#039;ve been on it nearly 3 months now. Libido maybe even better, as I feel happier. This is by far the best pill I&#039;ve been on and I didn&#039;t take the pill for years because of the effects of weight gain, and libido. I&#039;ve tried Mirena twice, awful, mini pill, mini pill injection cap and coil. Finally found one that suits, now my GP won&#039;t prescribe it! I will try family planning.""",10.0,41
Tioconazole,Vaginal Yeast Infection,"""Alright ladies. I seriously suggest doing your research before using this product. My mother has used this product with no problems in the past, so when I got my first yeast infection this week, she had no reservations about getting this medication for me. Unfortunately I had to go to Urgent Care two days later, due to severe swelling and pain. The doctor knew immediately that I had taken Monistat and said that it is common that this product makes the infection much worse. So I guess if you feel like flipping a coin on whether or not you want a swollen vagina, by all means go ahead. Instead, I suggest you go to an Urgent Care center. The bill will not be ridiculous and the prescription cost me $8 at Walmart. Best of luck.""",1.0,6
Verapamil,Cluster Headaches,"""I have suffered for three years, at my whits end I too did my own research and after two weeks I am pain free.  The bad attacks stopped instantly and the minor ones subsided after about day 7.  I feel like I have my life back.  I was exhausted for the first week until my body adjusted...but push through people....this medicine saved my life.  I can even enjoy a glass of wine now and again!""",10.0,31
Homatropine / hydrocodone,Cough,"""Hycodan worked great for the cough, but I ended up with a rebound headache the next morning. It also made me itchy and have strange dreams. Even with all these side effects, it was worth it to have a good nights sleep.""",7.0,16
Tramadol,Back Pain,"""I have multiple herniated disks from L3 to S1 and was given this for pain. It didn&#039;t help at all with the pain and actually made me feel worse. It made me tremble and sweat terribly; this medication did nothing for my pain.""",2.0,22
Sertraline,Panic Disorde,"""Hi all, after reading mixed reviews online on antidepressants I was apprehensive the drug could actually work. I was experiencing panic attacks that lasted all day, I was started on 50mg straight away and experience increased panic for the first 4 days but no other side effects. From day 5 panic attacks are almost non existent, it really is a wonderful  drug, just stick to it and remember it will get better with time.""",10.0,4
Pegfilgrastim,Neutropenia Associated with Chemotherapy,"""Hodgkin&#039;s lymphoma , had five nuelasta shots to date...each time it takes longer to kick in ... Now at eight days after the shot for it to start working.  I spend about 36 hours with terrible bone pain, fever the whole time, flu symptoms...each time, but I am always neutropenia at my nadir (7 days) and then when it kicks in, counts go way up.  Take Claritan and Tylenol for pain/fever, but it is hard to feel like it is helping...""",10.0,10
Eletriptan,Migraine,"""I have tried a lot of analgesic medications and antidepressants for my migraines in the past but none of them work so I have just been buying mersyndol and taking them to try and get some sleep but still wake up in pain. Today I was prescribed Relpax after my pharmacists recommended I talk to my doctor about them and they are amazing! I usually live most days with some sort of headache (not always a migraine) but after taking this I am completely pain free!""",10.0,15
Levonorgestrel,Birth Control,"""I&#039;ve had Mirena for almost a month now.  I am 33, had one vaginal birth.  The insertion is painful, but very manageable. I used to weight 112lbs, in less than 30 days I&#039;ve gained 6 lbs. I got a crying fit within 24 hours of inserting Mirena.  I did not experience post-partum depression with my child and handled the divorce pretty well, so I know the depression is due to the Mirena.  Add a constant sense of bloating, cramps and back pain.  I have been spotting since the insertion too.  No normal period so far.  I also had an awful migraine that lasted 3 days.  In a couple of months, if the side effects don&#039;t improve, it must be removed.""",7.0,4
Diflucan,Vaginal Yeast Infection,"""It is unbelievable how wonderful this medicine is for yeast infections! I went to doc for a urinary tract infection and also had symptoms of redness, burning, itching and swelling. It was the worst ever! Took 1 pill and already noticed results in just a few hours! It is a miracle.""",10.0,145
Drospirenone / ethinyl estradiol,Birth Control,"""I was on this birth control when I was a teenager and felt great. I had since been diagnosed with endometriosis and had to stop birth control for treatment. When I finished the 6 month treatment I had to start birth control again. I tried a bunch of different birth control pills to try to minimize bleeding and pain. I had issues with acne, depression and anxiety, weight loss, breakthrough bleeding, severe cramping, painful sex, and a million other things. I asked to be put back on Zarah and should have done it years ago. My skin is completely clear, I have no depression and anxiety, it did not change my weight, there is no breakthrough bleeding, severe cramping, or painful sex. I feel 10x better than being on no birth control. The best!!!""",10.0,10
Olopatadine,Seasonal Allergic Conjunctivitis,"""I first tried Patanol last year. I had been crying a lot one day and my eyes felt incredibly dry and irritated afterwards. My roommate, a nurse, gave me a new bottle of Patanol (she had just been switched to another rx instead) to help my burning eyes. I had never experienced such immediate, profound relief with any OTC dry eye drops, gels, etc. for my dry eye symptoms! Now I have my own Rx, and it still works wonders for my bad dry eyes.""",9.0,4
Citalopram,Postpartum Depression,"""I began to feel better almost immediately- within 4 days I could really tell a difference in my stress level and more overall depression. I feel much better, and I am thankful I that I decided to seek help. This has not solved all my problems, but it put me in a frame of mind to be able to deal with them rather than feel out of control and hopeless. Best decision I could have made not only for myself, but my family. the only side effect that I have experienced is difficulty reaching orgasm. But honestly it has helped me so much, I am more than willing to live with this than go back to the way I was before.""",9.0,48
Tioconazole,Vaginal Yeast Infection,"""I have used the 1 day cream as well as this ovule once before. The cream I always used at night a pad to catch any unwanted messes. It was just a mess but instant relief. The first time I used the ovule it came out during a bathroom break with no relief and I needed another trip to the store to get the cream. This time I tried the ovule once again planning use it before bed. Well, when I was finally about to fall asleep I started to get he worst bribing sensation I have ever gotten and now I am trying to just get this out of me. Never again.""",1.0,4
Adderall XR,Narcolepsy,"""I was first prescribed Adderall XR 15mg in 2009. I was so fatigued that I was falling asleep driving to work. This medication helped immediately; I took it first thing in the morning, and it would give me a burst of energy. All of a sudden I was able to focus, and I stayed calm and rational amidst the craziest chaos at work. I absolutely loved the way I was when I took Adderall. I always took a break from it on weekends to prevent my body from building a tolerance too soon. That it would happen I had no doubt about; but I wanted to enjoy it as long as possible. (If you know the movie &quot;Limitless&quot;, then you know what I&#039;m talking about).  I was still me, just better. Alas, I had to up my dosage to get the same effect. Now at 60mg.""",10.0,53
Contrave,Obesity,"""I started June 2015.  First I did have the nausea, headaches and tiredness but it has slowly gotten better. I was willing to put up with the side effects to see if this product would help me.  I am up to 4 pills and a day I feel not too bad. I have only lost 10 pounds but I just starting walking 3 miles a day.  I couldn&#039;t exercise at first because of how sick they were making me feel.  I do feel how it has helped me with my appetite. I only eat when I am hungry and I don&#039;t crave food or snacks all day. When I do eat, I get full very fast.  I even have to eat slow because if I eat fast and slightly over eat, I feel so sick and full.  I haven&#039;t lost as much as others. I&#039;m going to keep going I&#039;m happy I&#039;m losing and not gaining!""",8.0,18
Amoxicillin / clavulanate,Bacterial Infection,"""My son had over half of the severe reactions to this medicine. He was prescribed this medicine for an ear infection. We spent a whole day in the doctors office being tested for everything from cancer and blood disorders to simple viruses. Thankfully, we found out it was just a reaction to augmentin. Our oldest son has had augmentin before without any reaction what-so-ever.""",1.0,21
Ethinyl estradiol / norethindrone,Birth Control,"""I hate this pill and I wish I never would&#039;ve tried it. I had a cyst on one of my ovaries that ruptured and it caused me to have a period for a month or two straight so my doctor put me on this pill. I have gained weight, my chin is constantly broken out, I had absolutely no sex drive and worst of all, my emotions are crazy. It&#039;s taken a toll on my relationship. I cry about the dumbest things. I was never like this before I took those pills. I quit taking it before I finished the first month because I got to the point to where I hated myself and everyone around me. I haven&#039;t taken it in months and I still have days where I feel miserable and my sex drive has not gotten better yet at all. I do not recommend this pill at all. It has ruined me.""",1.0,9
Zoloft,Major Depressive Disorde,"""I&#039;ve had a lot of success with Zoloft both as an antidepressant and for generalized anxiety disorder. It has worked for me for almost 2 years now and has really kept my symptoms under control. I&#039;m of very small weight and sensitive to medications, so 25 mg works for me reasonably well. I have had to up my dosage to 50mg during times of high stress and it has helped so much. The only side effects I have experienced were a little nausea, some apathy, and insomnia. Other than that, I have tolerated this medication very well. It helps me put things into perspective and stops me from my having such negative, anxiety ridden thinking patterns. It helps me live in the moment and takes away a lot of my worries. I would definitely recommend.""",8.0,16
Victoza,"Diabetes, Type 2","""After starting on Victoza 3 weeks ago I have lost 12 pounds and fasting levels are at about 90 each morning. Side effects went away in a couple days, but my doctor had me stay on 0.6 for 10 days to let my body get used to it. I&#039;m on 1.2 now and not losing weight as fast, but am learning to eat small amounts. It doesn&#039;t take much to feel full. Good medicine as far as I&#039;m concerned.""",9.0,14
Saxenda,Obesity,"""I am 5&#039;7&#039;&#039; 263 lbs, female. My doctor put me on this to help with my weight loss. I am on weight watchers as well and started going to the gym. I started April 3rd with 0.6 for week one and I just increased to 1.2 for week 2. Week one my symptoms were nausea, stomach pain and abdominal pain just below my belly button. Extreme constipation and bloating. I had to go the pharmacy and got stool softener, which helped after 2 days of taking stool softeners. I also felt extremely tired. Week 2 yesterday was my first injection of 1.2 and the next day (today) I had sharp pain in my stomach until I had something to eat and drink lots of water. I feel like I need to drink a lot of water to feel good. I will update soon.""",6.0,10
Bisacodyl,Constipation,"""Took two pills around 11:30pm had cramps and nausea all night. Woke up at 7:30 and decided to try to go to the bathroom. In the 10 steps it took to get to the bathroom I already felt faint, nauseous and had cold sweats. Passed out on the toilet so I crawled back to bed for a few minutes before feeling the worst cramps of my life. Crawled back to bathroom and did produce a bm but while I was washing my hands went completely unconscious, fell and split my chin on my bathtub, not bad enough to get stitches but still. I was so weak I couldn&#039;t even type my phone password in to call for help. Finally my roommate found me but come on... this pill should not be on the market. Unbelievable the FDA approves this for otc.""",1.0,21
Mirtazapine,Depression,"""I became hyper sensitive to Seroquel around the same time my Dr. put me on mirtazapine. It took about 30 days of 30mg and one day I woke up and I felt like a veil was lifted.  I was no longer depressed. I have lost weight that I had gained from Seroquel. No side effects that I have noticed.""",10.0,19
Suvorexant,Insomnia,"""I started on 15mg of Belsomra. The doctor said if this did not work he would put me on 20.  I had trouble falling asleep and drifted in and out of sleep all night and felt like crap the next day. Constantly felt like the need for a daytime nap. He up the dosage to 20 mg and nothing changed. I could not get a good night&#039;s sleep. Never felt good day or night. We left for Florida after I was on the drug for a month plus and I could not keep the car on the road as I kept falling asleep.  My wife became angry and made me stop taking the pills.  What to do with them at that point??? I turned them in at the police station under the drug disposal plan rather than throw them in the garbage. They informed me they were a narcotic.""",1.0,15
Amlodipine,High Blood Pressure,"""Had blood pressure issue. Another drug that I was put on didnt work. Doc suggested Amlodipine which is the generic for Norvasc. First day my bp was something like 145/90. Took new med on the afternoon late, and within 2 hours it was down to 117/70. I thought that was fast because Doc said to give it a few days to start working. Second day I noticed myself becoming edgy and almost scared. Anxiety was started creeping in. Started feeling tingling infingers and feet. The third day the tingling turned to slight numbness in those areas. I also got severe headaches to the back of my head. Legs and arms felt very weak as well. Its almost day for and im having water retention. Im coming off of this drug.""",2.0,51
Chantix,Smoking Cessation,"""Chantix is a miracle (at least for me). More than two packs a day for 30+ years, and I quit smoking on Day 11. I&#039;m now five weeks quit, and will never, ever, take even a puff again. I&#039;m done, healthy and happy.""",10.0,36
Cymbalta,ibromyalgia,"""Cymbalta/Duloxatine is evil. I was prescribed it for fibromyalgia. I have had jaw pain and stiffness, 50 lb weight gain (very uncharacteristic, for me, binge eating), leg pain, muscle pain and twitching, lung fullness and coughing, high blood pressure, blurred vision, chest pain, unsteady gait, shortness of breath. My Dr refused to accept Cymbalta/Duloxatine as a reason for symptoms and was upset with me. She increased dosage from 30mg to 60mg to 90mg in 6 months. My health kept deteriorating. She wanted me to do a sleep study, saying I must not be sleeping/breathing well. I am currently looking for another Dr and awaiting Cymbalta/Duloxatine in a bead form (instead of the 6 pills in mine) so I can taper off at a 5% or less rate.""",1.0,44
Belbuca,Chronic Pain,"""I was prescribed Suboxone, buprenorphine, for chronic pain in 2004. When the patch, Butrans, came along, I was given that, but it itched too much. Recently, I moved to an area that virtually has no idea that buprenorphine is great for pain relief. After much suffering, I found someone who would prescribe it for such, but my insurance also is behind the times and so after a few $200 copays, I heard about Belbuca so I tried it. After a couple of doses, I figured out the best way to open the pouch, and for the most part, it dissolved fine. The problem is its just too weak. The highest dose didn&#039;t cut it for me. I gave it up and accepted the generic sublingual tablets of buprenorphine, which are covered by my insurance. They are fine.""",4.0,17
Lamictal,Bipolar Disorde,"""This drug has been a lifesaver so far.  Especially considering the other &quot;less-than-ideal&quot; medication options for bipolar disorder.""",10.0,20
Triazolam,Insomnia,"""I have been taking halcion for about 30 yrs. I have been taking two pills every night. This is the only pill that has ever worked for me. The only thing that I have noticed is short term memory loss. If I don&#039;t take it I won&#039;t fall asleep. Halcion, is the best medication I have ever taken for my insomnia.""",10.0,18
Escitalopram,Depression,"""This pill works really well. Not for everyone but those that it will work on, it works great. Take effect in about 2 to 3 weeks.""",9.0,18
Otezla,Plaque Psoriasis,"""My feet have always been the worst, with hands next. My feet actually got better but my hands are way worse and now I have plaques on the front of my legs. A bad trade off !!""",4.0,9
Zoloft,Post Traumatic Stress Disorde,"""Haven&#039;t felt so calm in a very long time. Taking zoloft for anxiety and depression from my ptsd. My racing thoughts and ruminating has slowed down, and I slept last night for the first time in 6 months with no sleeping pills . Actually feels weird to feel so good!!""",9.0,42
Levonorgestrel,Birth Control,"""I had the Mirena put in aprox. 5 days ago. I&#039;m 23 have had 4 miscarriages and in decided I will not try anymore. I asked my doctor about the IUD and he was very happy in my decision. Anyway to start off with yes it hurt like hell. Then I felt fine got up from the table. Walked to the front desk and nearly passed out my blood pressure dropped well below normal and they said it is normal. I recovered in full. Was able to drive home. I have had mild cramping and just spotting not even enough to wear a pantie liner. I have had some pimples pop up but totally worth it. Tonight me and my husband had sex and all the pain I had felt during sex before has gone away. It&#039;s amazing. He didn&#039;t have to be careful either. Matter of fact I can&#039;t believe it""",7.0,8
Nexplanon,Birth Control,"""I would never recommend this birth control option ! I have been using it since January 2017 and till now which is March and I have had the worst emotional side affects severe depression and anxiety. I went to ER to get anxiety medicine to try to control this crazy mood changes. I immediately scheduled an appointment to get this removed . I haven&#039;t had an appetite and have felt like I couldn&#039;t work and focus because of the side affects. Please take this seriously I have lived the worst week of my life battling this thinking something was wrong . But looking at all the similar reviews I trust that it&#039;s this birth control . Take care of your body and be healthy and make sure you read before you take something .""",1.0,9
Metronidazole,Bacterial Vaginitis,"""I&#039;ve been on the gel for 3 days... First diagnosed with a UTI with no growth. Finished Cipro and still had symptoms. Second round- pelvic exam &amp; swab... Still had bacteria &amp; yeast so was prescribed metro gel. No side effects - but hasn&#039;t helped my issue. Waiting for 2nd culture to come back to see if still UTI and wasn&#039;t sensitive to the Cipro and need something new. Pains from hell""",7.0,7
Ethinyl estradiol / norgestrel,Birth Control,"""I have been on this pill for 3 months now &amp; I have to say it has been awful!! I do not feel like myself, I&#039;m really irritable, angry, depressed, &amp; my sex drive is GONE. I&#039;ve been working out daily &amp; eating right &amp; still gaining weight. I&#039;ve also got awful period acne breakouts on Cryselle. The only positive things are that the pill does it&#039;s job and my periods are 4 days max (they&#039;re also light).""",4.0,10
Ethinyl estradiol / levonorgestrel,Birth Control,"""Started taking Aleese 4 months after first baby. Within the first 24hrs I developed a headache. For a week I took my pill same time everyday. On day 7 my headache had become unbearably bad. By the next morning I started pain puking unable to open my right eye. I went into emergency at the hospital and was treated for a migraine... a migraine was not what the problem was I have a blood clot in my brain caused by being on this pill for 1 week. I am now on blood thinners and treatment for the clot luckily I did not keep waiting for what I thought was my body adjusting to this bc. I saved my life by going to the hospital.""",1.0,2
Victoza,Weight Loss,"""I&#039;ve been taking victoza for about 6 months
I started at 180 pound and I am now 130 at first I was very nauseous, but that subsided I do still get stomach aches though.""",10.0,80
ParaGard,Birth Control,"""Hurt a lot to place and got pregnant within three months of using... was not useful to me in any way.""",2.0,2
Clonazepam,Panic Disorde,"""This drug is saving my life right now. Its a shame the people who abuse it ruin it for those of us who get relief from debilitating issues from it, because many doctors just don&#039;t want to prescribe it now. I say what&#039;s the point of having a drug if you can&#039;t use it to help people who need it.""",10.0,51
Divalproex sodium,Bipolar Disorde,"""I started up on 250mg and ended up at 1500mg.  I noticed very subtle effects if any.  Hard to remember, I went through a lot and was on Seroquel also at the time.  Seemed to have a slight calming effect.  However after time it raised my liver enzymes and lowered my platelet count (which is a potential side effect)  So I went off of it.  I don&#039;t have many hypomanic episodes and never a manic episode so I don&#039;t know why my dose got that high.  Didn&#039;t notice anything significant.  Gained 20 lbs, made me sick and tired.  Wasn&#039;t for me.""",3.0,42
Talwin Nx,Chronic Pain,"""Used Talwin NX for Carpel Tunnel.  Worst feeling ever!  I felt drunk, for car sick, had horrible dreams- it did not help with pain relief.  I would not take it again!""",2.0,1
Ethinyl estradiol / norethindrone,Birth Control,"""I am almost done with the first pack (I am on the brown pills) and can honestly say I am not sure if I am even going to wait to see if it helps my cramps, which is the whole reason I got on birth control in the first place. I gained 5 pounds in 3 weeks by doing nothing differently. My waist has completely changed. I gained fat on my love handles and I have not been eating or exercising any differently. I went from 116lbs to 121lbs. I have never hit over 120lbs in my life. I was 121lbs waking up so it&#039;s not like I was full from food or something. Also, my breasts are really sensitive. The upside to this birth control is that the pills are chewable. Also, I tried Aviane in the past and all I could do was vomit the first day I took it. No nausea with this.""",7.0,4
Ciprofloxacin / dexamethasone,Otitis Externa,"""My son while at his mothers put a plastic bead for making jewelry in his ear. They didnt have tools at ER and we needed a followup for ENT doctor to get it out. So prevent any type of infection they gave us Ciprodex and Antipyrine-Benzoca. For Ciprodex alone a 7 day supply they billed insurance company $203.08. Of that a 7 day supply cost me $17 out of pocket. Thank you insurance for paying the rest.""",9.0,2
Polyethylene glycol 3350 with electrolytes,"Constipation, Chronic","""The taste is terrible. I would rather there not be a lemon or sweet taste.  Thought I was going to be sick.  Holding breath, nose and big gulps is helpful.  This stuff does work though. I have a colonoscopy in the morning.  I suffered through the first liter at 6 pm and the second at 10 pm.  Couldn&#039;t make it through the entire 2nd liter.  I had about 2 oz left.  Good luck everyone!""",8.0,13
Sofosbuvir / velpatasvir,Hepatitis C,"""Its been ABSOLUTELY TERRIBLE!!! The first  week, whole body shaking. Had to start anxiety medicines. Headaches. Urinary tract pain, bladder pain since day 3, it is going on week 7 with this pain. Will be glad when it is over!!!""",10.0,22
Sumatriptan,Cluster Headaches,"""It worked to abort a cluster headache.  Just as effective, but not any more so, than the needle version of Imitrex/sumatriptan.  The injection stung quite a bit and left a fairly nasty welt similar to a wasp sting, and it bled a little bit, but it worked as advertised.""",10.0,12
Phendimetrazine,Obesity,"""I like this. It&#039;s the only thing that&#039;s ever worked for me.""",9.0,28
Cefuroxime,Sinusitis,"""I am a chronic sinusitis sufferer and normally I let it play out and my body will usually fight it off but every now and then I have to get antibiotics, usually once a year and twice on rare occasions. It usually takes anywhere from 5-7 Days before I get any relief well this time I went in because my tongue seemed cut and burning and throat was a little sore but I wasn&#039;t suffering from the normal sinus pressure and headaches but was told infection had spread to my ears and throat and was put on cefuroxime 500mg twice daily and though my tongue is still sore it seems to be healing ok and my throat and ears are no longer sore ears are plugged a bit though. I breathe better through my nose. I have not experienced the taste as my pills are coated.""",9.0,37
Lisdexamfetamine,Binge Eating Disorde,"""I&#039;ve been talking the medicine for about a month. My first day I felt like I was high all day at work. This was the only time I felt like that though. I am amazed at how I no longer want to snack all the time. I can now walk by the snack table at work and not pick at it. It is great to not constantly thinking about food. But For About A Week Now I am feeling very anxious all The time but hoping it is temporary.""",10.0,31
Ciprofloxacin,Bladder Infection,"""I was experiencing pain in my right kidney, It wasn&#039;t a sharp pain, but more of a dull achy pain that was just uncomfortable. It went away the next day but would come back every other day. I then started to feel the beginning stages of a UTI coming on so I correlated the 2 together. the dr. took a urine sample but results have not come back yet. She says she thinks I have a bladder infection spreading to my kidney so she prescribed me cipro. After looking it up I read cipro is good for UTI, kidney and bladder infections so it should work perfectly fine. After my second pill my UTI was cleared up (hallelujah), but after taking 3 days my pain in my kidney is more constant than ever and stays 24/7 now. I hope it goes away soon!""",7.0,17
Ethinyl estradiol / norethindrone,Birth Control,"""I&#039;ve been on Minastrin for 6 months now. I went from very heavy painful long lasting periods to none at all. I haven&#039;t had any side effects except breast tenderness once a month. I love this pill. They say give your bdy at least 3 months to adjust. So maybe just stick it out for a while and see what happens. As for me I WILL be sticking with this pill.""",10.0,28
Clonazepam,Anxiety,"""Klonopin definitely has a smoother onset and longer duration than Xanax. Some tolerance can develop on long term usage so try to keep the dose as low as possible. Great benzodiazepine, wipes out anxiety once you figure out the right dosage for you.""",10.0,75
