drugName,condition,n_reviews,avg_rating,sentiment_score,total_useful
Ortho Tri-Cyclen Lo,Abnormal Uterine Bleeding,5,5.6,0.572,30
Sronyx,Abnormal Uterine Bleeding,6,4.33,0.545,25
TriNessa,Abnormal Uterine Bleeding,15,5.93,0.5336,65
Levonorgestrel,Abnormal Uterine Bleeding,355,5.26,0.5277,4945
Mirena,Abnormal Uterine Bleeding,327,5.21,0.519,4944
Tri-Sprintec,Abnormal Uterine Bleeding,29,5.1,0.5111,228
Alesse,Abnormal Uterine Bleeding,8,4.88,0.5093,30
Megestrol,Abnormal Uterine Bleeding,20,6.6,0.4983,467
Cryselle,Abnormal Uterine Bleeding,10,4.3,0.4905,30
Nora-Be,Abnormal Uterine Bleeding,15,5.07,0.489,249
Provera,Abnormal Uterine Bleeding,48,4.81,0.4836,1813
Quasense,Abnormal Uterine Bleeding,8,2.75,0.4777,41
Seasonale,Abnormal Uterine Bleeding,5,4.4,0.453,18
Mononessa,Abnormal Uterine Bleeding,26,5.54,0.4484,232
Jolessa,Abnormal Uterine Bleeding,6,4.17,0.436,31
Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,199,4.57,0.4359,1308
Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,145,4.4,0.4311,877
Norethindrone,Abnormal Uterine Bleeding,80,4.09,0.3995,1132
Apri,Abnormal Uterine Bleeding,5,6.0,0.3965,16
Desogestrel / ethinyl estradiol,Abnormal Uterine Bleeding,5,6.0,0.3965,16
Levora,Abnormal Uterine Bleeding,6,5.0,0.3807,23
Gildess Fe 1 / 20,Abnormal Uterine Bleeding,6,3.5,0.3787,4
LoSeasonique,Abnormal Uterine Bleeding,14,4.21,0.3771,92
Sprintec,Abnormal Uterine Bleeding,53,3.85,0.373,453
Estarylla,Abnormal Uterine Bleeding,21,3.67,0.3695,74
Seasonique,Abnormal Uterine Bleeding,51,3.69,0.3686,477
Ethinyl estradiol / etonogestrel,Abnormal Uterine Bleeding,5,3.6,0.3338,0
Medroxyprogesterone,Abnormal Uterine Bleeding,500,3.33,0.3157,7883
Depo-Provera,Abnormal Uterine Bleeding,435,3.12,0.2876,6048
Tri-Previfem,Abnormal Uterine Bleeding,16,2.88,0.283,148
Tri-Lo-Sprintec,Abnormal Uterine Bleeding,8,1.12,0.2124,20
Lyza,Abnormal Uterine Bleeding,6,2.33,0.1399,53
Misoprostol,Abortion,6,8.0,0.5756,88
Aldactone,Acne,5,9.8,0.9726,469
PanOxyl,Acne,5,9.6,0.9619,92
Doxy 100,Acne,5,9.0,0.9092,141
Benzaclin,Acne,64,8.86,0.9075,891
Retin-A,Acne,42,8.43,0.8878,1556
Atralin,Acne,33,8.12,0.8788,1063
Claravis,Acne,94,8.45,0.8698,1395
Epiduo Forte,Acne,19,7.0,0.8688,78
Benzoyl peroxide,Acne,26,8.58,0.8685,391
Accutane,Acne,431,8.4,0.8674,10004
Isotretinoin,Acne,682,8.35,0.8582,12261
Benzoyl peroxide / erythromycin,Acne,29,8.55,0.8517,400
Bactrim,Acne,66,8.98,0.8447,1739
Tazarotene,Acne,12,8.25,0.8439,147
Ocella,Acne,16,7.88,0.8359,126
Amnesteem,Acne,25,7.68,0.8347,263
Zenatane,Acne,9,8.44,0.8325,55
Bactrim DS,Acne,20,7.65,0.8311,262
Sulfamethoxazole / trimethoprim,Acne,125,8.3,0.8261,2306
Tretinoin,Acne,304,7.91,0.8239,6896
Tazorac,Acne,10,8.1,0.8216,141
Benzoyl peroxide / clindamycin,Acne,356,7.95,0.8189,4348
Finacea,Acne,13,8.38,0.815,390
Clarifoam EF,Acne,7,8.14,0.8113,128
Duac,Acne,160,7.6,0.8071,2404
Sulfacetamide sodium / sulfur,Acne,23,7.83,0.8066,290
Clindamycin / tretinoin,Acne,106,7.46,0.8037,1152
Tetracycline,Acne,20,7.7,0.7993,205
Veltin,Acne,24,7.33,0.7974,268
Benzamycin,Acne,6,7.67,0.7955,91
Clindamycin,Acne,66,7.74,0.7952,2121
Onexton,Acne,16,8.5,0.7952,143
Ziana,Acne,65,7.35,0.795,844
Spironolactone,Acne,238,7.81,0.7897,6061
Doryx,Acne,52,7.65,0.7879,1075
Adapalene / benzoyl peroxide,Acne,547,7.45,0.7861,6048
Epiduo,Acne,483,7.44,0.7851,5936
Monodox,Acne,29,7.79,0.781,638
Beyaz,Acne,25,7.6,0.7803,247
Drospirenone / ethinyl estradiol / levomefolate calcium,Acne,25,7.6,0.7803,247
Acanya,Acne,55,7.35,0.7723,659
Minocin,Acne,10,7.0,0.7658,164
Azelaic acid,Acne,24,7.83,0.7655,460
Differin,Acne,137,7.43,0.7647,3664
Doxycycline,Acne,500,7.32,0.7641,7486
Dapsone,Acne,173,7.33,0.764,2904
Aczone,Acne,168,7.31,0.7635,2900
Adapalene,Acne,238,7.21,0.7567,4642
Solodyn,Acne,84,6.86,0.7281,1657
Yaz,Acne,102,7.19,0.6959,1743
Gianvi,Acne,30,7.4,0.6934,275
Estarylla,Acne,6,5.5,0.6877,30
Drospirenone / ethinyl estradiol,Acne,267,7.04,0.6846,3719
Yasmin,Acne,88,6.9,0.67,1503
Minocycline,Acne,333,6.33,0.6697,4031
TriNessa,Acne,77,6.58,0.6361,722
Ethinyl estradiol / norgestimate,Acne,270,5.89,0.5919,2524
Tri-Sprintec,Acne,82,5.7,0.5865,795
Loryna,Acne,20,5.65,0.5725,63
Ortho Tri-Cyclen,Acne,47,5.77,0.5639,600
Tri-Previfem,Acne,29,5.52,0.5513,345
Gildess Fe 1 / 20,Acne,11,5.0,0.5497,36
Junel Fe 1 / 20,Acne,16,5.56,0.5452,152
Gildess Fe 1.5 / 30,Acne,5,5.6,0.4864,12
Microgestin Fe 1 / 20,Acne,19,4.42,0.4409,179
Ethinyl estradiol / norethindrone,Acne,169,3.81,0.3747,1362
Loestrin 24 Fe,Acne,79,3.27,0.3363,881
Microgestin Fe 1.5 / 30,Acne,5,2.8,0.2831,7
Fluorouracil,Actinic Keratosis,22,6.77,0.7167,518
Effient,Acute Coronary Syndrome,13,7.54,0.7515,302
Prasugrel,Acute Coronary Syndrome,13,7.54,0.7515,302
Ticagrelor,Acute Coronary Syndrome,20,5.1,0.4914,357
Brilinta,Acute Coronary Syndrome,17,4.65,0.4392,349
Hydrocortisone,Adrenocortical Insufficiency,6,7.5,0.9661,118
Somatropin,Adult Human Growth Hormone Deficiency,6,8.67,0.8487,98
Aripiprazole,Agitated State,24,6.58,0.6802,738
Abilify,Agitated State,22,6.41,0.6609,729
Olanzapine,Agitation,5,9.2,0.8788,59
Revia,Alcohol Dependence,5,9.2,0.9679,771
Campral,Alcohol Dependence,122,9.01,0.9411,8597
Acamprosate,Alcohol Dependence,143,8.87,0.9302,8960
Vivitrol,Alcohol Dependence,15,8.73,0.9001,1433
Naltrexone,Alcohol Dependence,122,8.63,0.8754,7724
Antabuse,Alcohol Dependence,49,9.0,0.8688,4571
Disulfiram,Alcohol Dependence,61,8.67,0.8512,4714
Diazepam,Alcohol Withdrawal,9,8.89,0.9787,361
Valium,Alcohol Withdrawal,7,8.57,0.9738,340
Baclofen,Alcohol Withdrawal,54,9.04,0.9279,2582
Librium,Alcohol Withdrawal,80,9.55,0.9151,4497
Chlordiazepoxide,Alcohol Withdrawal,89,9.48,0.9119,4540
Gabapentin,Alcohol Withdrawal,30,8.6,0.9116,1944
Chlorpheniramine,Allergic Reactions,9,9.44,0.8597,108
Cyproheptadine,Allergic Reactions,6,9.17,0.8497,79
Diphenhydramine,Allergic Reactions,25,8.08,0.7367,418
Benadryl Allergy,Allergic Reactions,10,8.4,0.7168,243
Promethazine,Allergic Reactions,5,7.6,0.6648,53
Benadryl,Allergic Reactions,10,7.5,0.6432,145
Prednisone,Allergic Reactions,26,7.04,0.5557,721
Chlorpheniramine,Allergic Rhinitis,12,9.42,0.9493,179
Chlor-Trimeton,Allergic Rhinitis,6,9.67,0.9321,116
Dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,18,9.89,0.9305,212
Drixoral Cold and Allergy,Allergic Rhinitis,16,9.94,0.926,203
Astelin,Allergic Rhinitis,11,9.55,0.9167,323
QNASL,Allergic Rhinitis,6,8.0,0.8884,29
Astepro,Allergic Rhinitis,16,8.5,0.8834,305
Olopatadine,Allergic Rhinitis,11,8.18,0.8239,168
Patanase,Allergic Rhinitis,11,8.18,0.8239,168
Veramyst,Allergic Rhinitis,6,8.0,0.8143,40
Allegra-D 24 Hour,Allergic Rhinitis,12,7.42,0.7988,117
Azelastine,Allergic Rhinitis,55,7.64,0.7968,912
Xyzal,Allergic Rhinitis,27,7.81,0.7903,553
Levocetirizine,Allergic Rhinitis,31,7.77,0.79,584
Allegra-D 12 Hour,Allergic Rhinitis,7,8.29,0.7769,67
Nasonex,Allergic Rhinitis,30,7.27,0.7665,479
Beclomethasone,Allergic Rhinitis,13,7.46,0.7649,45
Allegra,Allergic Rhinitis,40,6.92,0.7602,718
Mometasone,Allergic Rhinitis,34,7.29,0.7544,486
Fexofenadine / pseudoephedrine,Allergic Rhinitis,30,7.37,0.7496,211
Fexofenadine,Allergic Rhinitis,60,6.57,0.7307,831
Chlorpheniramine / pseudoephedrine,Allergic Rhinitis,7,8.71,0.7095,37
Budesonide,Allergic Rhinitis,8,7.88,0.7017,70
Cetirizine,Allergic Rhinitis,95,6.74,0.6966,1570
Azelastine / fluticasone,Allergic Rhinitis,65,6.66,0.6952,661
Dymista,Allergic Rhinitis,65,6.66,0.6952,661
Zyrtec,Allergic Rhinitis,64,6.61,0.6906,1434
Ciclesonide,Allergic Rhinitis,8,7.5,0.6729,94
Omnaris,Allergic Rhinitis,8,7.5,0.6729,94
Claritin-D,Allergic Rhinitis,9,4.78,0.6726,160
Desloratadine,Allergic Rhinitis,12,6.25,0.662,64
Loratadine,Allergic Rhinitis,41,5.66,0.6486,649
Loratadine / pseudoephedrine,Allergic Rhinitis,13,4.85,0.6471,175
Benadryl,Allergic Rhinitis,9,6.56,0.645,72
Singulair,Allergic Rhinitis,49,6.53,0.6444,2314
Flonase,Allergic Rhinitis,35,6.11,0.6414,703
Fluticasone,Allergic Rhinitis,54,6.09,0.6388,780
Diphenhydramine,Allergic Rhinitis,13,6.77,0.6216,93
Triamcinolone,Allergic Rhinitis,55,6.33,0.6102,734
Nasacort,Allergic Rhinitis,40,5.78,0.5824,558
Montelukast,Allergic Rhinitis,86,5.69,0.5524,2741
Claritin,Allergic Rhinitis,16,3.94,0.5126,335
Nasacort Allergy 24HR,Allergic Rhinitis,8,6.12,0.4822,21
Methylprednisolone,Allergic Rhinitis,13,4.69,0.4538,166
Allegra Allergy,Allergic Rhinitis,6,1.67,0.2719,22
Hydroxyzine,Allergic Urticaria,21,6.19,0.5536,662
Atarax,Allergies,11,9.0,0.8661,324
Hydroxyzine,Allergies,28,9.04,0.8582,674
Levocetirizine,Allergies,97,5.28,0.5588,1628
Xyzal,Allergies,86,4.98,0.5421,1532
Rogaine Women's,Alopecia,5,8.0,0.7729,296
Spironolactone,Alopecia,18,8.33,0.7552,1388
Triamcinolone,Alopecia,10,8.7,0.7526,313
Kenalog-10,Alopecia,8,8.75,0.7398,292
Minoxidil,Alopecia,67,6.52,0.6929,3618
Rogaine,Alopecia,15,6.2,0.6875,1319
Galantamine,Alzheimer's Disease,8,7.62,0.69,94
Exelon,Alzheimer's Disease,12,6.67,0.677,365
Rivastigmine,Alzheimer's Disease,16,6.56,0.6556,397
Aricept,Alzheimer's Disease,18,5.5,0.5778,1895
Donepezil,Alzheimer's Disease,32,4.81,0.4963,2266
Memantine,Alzheimer's Disease,17,4.24,0.4776,814
Namenda,Alzheimer's Disease,10,4.0,0.4341,634
Provera,Amenorrhea,40,7.82,0.8017,1030
Medroxyprogesterone,Amenorrhea,59,7.9,0.7837,1235
Depo-Provera,Amenorrhea,6,8.0,0.7081,91
Norethindrone,Amenorrhea,6,7.17,0.5908,20
Rectiv,Anal Fissure and Fistula,7,7.29,0.8246,80
Nitroglycerin,Anal Fissure and Fistula,10,8.1,0.7663,82
Finasteride,Androgenetic Alopecia,54,5.91,0.631,1313
Propecia,Androgenetic Alopecia,11,5.18,0.5025,451
Multivitamin with iron,Anemia,13,8.77,0.83,177
Hydroxyurea,"Anemia, Sickle Cell",5,7.4,0.8252,95
Emla,Anesthesia,5,8.6,0.9265,64
Lidocaine / prilocaine,Anesthesia,8,8.5,0.905,81
Diprivan,Anesthesia,18,8.83,0.8356,520
Propofol,Anesthesia,262,8.07,0.7791,3854
Ketamine,Anesthesia,12,4.67,0.4763,238
Lidocaine,Anesthesia,6,4.17,0.3901,39
Succinylcholine,Anesthesia,9,2.22,0.3885,59
Nitroglycerin,Angina,6,9.0,0.8735,199
Metoprolol,Angina,8,7.75,0.8639,146
Ranexa,Angina,36,7.47,0.7263,1292
Ranolazine,Angina,43,7.28,0.6887,1313
Isosorbide mononitrate,Angina,11,3.55,0.5036,36
Isosorbide mononitrate,Angina Pectoris Prophylaxis,17,5.76,0.5591,609
Imdur,Angina Pectoris Prophylaxis,6,4.17,0.335,323
Indomethacin,Ankylosing Spondylitis,8,8.5,0.8835,62
Etanercept,Ankylosing Spondylitis,37,8.19,0.8705,634
Enbrel,Ankylosing Spondylitis,36,8.14,0.867,633
Golimumab,Ankylosing Spondylitis,13,7.69,0.86,225
Simponi,Ankylosing Spondylitis,12,7.92,0.8573,224
Infliximab,Ankylosing Spondylitis,8,7.0,0.8142,161
Remicade,Ankylosing Spondylitis,7,7.0,0.8061,160
Voltaren,Ankylosing Spondylitis,6,7.5,0.7955,126
Naproxen,Ankylosing Spondylitis,5,6.0,0.79,34
Adalimumab,Ankylosing Spondylitis,43,7.74,0.744,1467
Humira,Ankylosing Spondylitis,43,7.74,0.744,1467
Diclofenac,Ankylosing Spondylitis,12,7.42,0.7116,156
Cosentyx,Ankylosing Spondylitis,6,2.67,0.2418,91
Secukinumab,Ankylosing Spondylitis,6,2.67,0.2418,91
Marinol,Anorexia,7,8.43,0.836,214
Cyproheptadine,Anorexia,85,8.85,0.8246,4556
Megestrol,Anorexia,7,8.0,0.8111,124
Dronabinol,Anorexia,10,7.9,0.8022,249
Tranxene,Anxiety,7,9.43,0.9879,501
Klonopin Wafer,Anxiety,6,9.67,0.9631,111
Paxil CR,Anxiety,7,8.86,0.9384,155
Niravam,Anxiety,10,9.7,0.9317,330
Clorazepate,Anxiety,24,8.96,0.9229,1145
Valium,Anxiety,125,9.1,0.9109,11623
Tramadol,Anxiety,51,9.51,0.9056,3742
Xanax XR,Anxiety,27,8.81,0.8939,1296
Alprazolam,Anxiety,560,8.83,0.8937,20080
Diazepam,Anxiety,259,8.78,0.8888,16081
Xanax,Anxiety,375,8.74,0.8883,17524
Serax,Anxiety,10,8.8,0.8858,721
Klonopin,Anxiety,284,8.61,0.8689,17122
Clonazepam,Anxiety,528,8.56,0.8673,21342
Meprobamate,Anxiety,6,8.17,0.8574,140
Oxazepam,Anxiety,34,9.12,0.851,1878
Librium,Anxiety,16,8.25,0.8493,553
Gabapentin,Anxiety,260,8.09,0.8448,21124
Lorazepam,Anxiety,417,8.28,0.8388,16262
Chlordiazepoxide,Anxiety,20,8.25,0.8366,572
Ativan,Anxiety,227,8.23,0.8357,12159
Neurontin,Anxiety,11,8.27,0.8256,1457
Atenolol,Anxiety,27,7.52,0.8238,1576
Lexapro,Anxiety,483,7.91,0.8233,22344
Escitalopram,Anxiety,669,7.83,0.8202,24530
Propranolol,Anxiety,111,7.99,0.8104,4347
Bupropion,Anxiety,75,7.07,0.8091,3747
Clonidine,Anxiety,25,7.48,0.7978,1215
Pristiq,Anxiety,92,7.29,0.7949,2481
Desvenlafaxine,Anxiety,117,7.3,0.7888,3049
Lamotrigine,Anxiety,24,7.38,0.7849,546
Paroxetine,Anxiety,212,7.41,0.7817,11029
Paxil,Anxiety,169,7.36,0.78,10676
Remeron,Anxiety,25,7.08,0.7796,2414
Trazodone,Anxiety,61,7.56,0.7785,4663
Effexor XR,Anxiety,133,7.32,0.7698,8921
Venlafaxine,Anxiety,191,7.06,0.7476,9442
Mirtazapine,Anxiety,180,6.88,0.7468,9789
Viibryd,Anxiety,6,7.5,0.7433,687
Cymbalta,Anxiety,161,7.06,0.7143,8804
Doxepin,Anxiety,13,7.08,0.7037,322
Duloxetine,Anxiety,174,6.97,0.6968,8897
BuSpar,Anxiety,303,6.43,0.6944,25460
Buspirone,Anxiety,538,6.33,0.6896,29377
Vilazodone,Anxiety,28,6.68,0.6857,909
Atarax,Anxiety,62,5.95,0.6775,3568
Vistaril,Anxiety,123,5.79,0.6724,7967
Hydroxyzine,Anxiety,422,5.78,0.6584,16344
Risperidone,Anxiety,26,6.08,0.6132,1095
Oxcarbazepine,Anxiety,13,5.92,0.5957,357
Prochlorperazine,Anxiety,9,5.67,0.4945,137
Elavil,Anxiety and Stress,15,9.6,0.9289,2258
Effexor XR,Anxiety and Stress,23,8.22,0.8885,713
Zoloft,Anxiety and Stress,67,7.6,0.8513,2661
Prozac,Anxiety and Stress,199,7.7,0.8324,20408
Fluoxetine,Anxiety and Stress,303,7.59,0.8221,22667
Prazosin,Anxiety and Stress,7,9.29,0.8193,512
Amitriptyline,Anxiety and Stress,86,7.7,0.8138,6355
Citalopram,Anxiety and Stress,560,7.62,0.803,32444
Celexa,Anxiety and Stress,319,7.59,0.8018,26741
Sertraline,Anxiety and Stress,296,7.42,0.7862,12865
Effexor,Anxiety and Stress,38,7.53,0.741,1450
Paroxetine,Anxiety and Stress,94,6.79,0.7251,3635
Venlafaxine,Anxiety and Stress,94,7.16,0.7103,2618
Fluvoxamine,Anxiety and Stress,38,5.76,0.6845,1327
Paxil,Anxiety and Stress,73,6.51,0.6802,3333
Luvox,Anxiety and Stress,20,5.3,0.6657,1016
Disopyramide,Arrhythmia,5,8.6,0.947,51
Tikosyn,Arrhythmia,37,7.95,0.7922,2243
Dofetilide,Arrhythmia,40,8.0,0.7892,2245
Propranolol,Arrhythmia,7,6.43,0.6342,88
Verapamil,Arrhythmia,8,6.38,0.5963,162
Amiodarone,Arrhythmia,22,5.41,0.5192,1103
Risperidone,Asperger Syndrome,8,5.88,0.5156,235
Ipratropium,Asthma,5,9.4,0.8797,96
Alvesco,Asthma,5,7.4,0.8318,59
Ciclesonide,Asthma,5,7.4,0.8318,59
Prednisone,Asthma,40,7.05,0.6984,1251
Singulair,Asthma,41,6.44,0.6978,1364
Dulera,Asthma,19,6.05,0.6552,363
Breo Ellipta,Asthma,30,7.17,0.6209,484
Fluticasone / vilanterol,Asthma,30,7.17,0.6209,484
Mepolizumab,Asthma,5,6.4,0.6155,88
Nucala,Asthma,5,6.4,0.6155,88
Montelukast,Asthma,91,5.48,0.5909,2079
Theophylline,"Asthma, Maintenance",6,9.17,0.9873,159
Alvesco,"Asthma, Maintenance",8,8.25,0.8937,111
Ciclesonide,"Asthma, Maintenance",8,8.25,0.8937,111
Singulair,"Asthma, Maintenance",36,7.92,0.8393,1475
Fluticasone / salmeterol,"Asthma, Maintenance",62,7.94,0.8246,1260
Advair Diskus,"Asthma, Maintenance",56,7.79,0.8212,1225
Cromolyn,"Asthma, Maintenance",8,8.88,0.8181,69
Omalizumab,"Asthma, Maintenance",42,8.1,0.813,1322
Xolair,"Asthma, Maintenance",41,8.05,0.8085,1322
Budesonide,"Asthma, Maintenance",13,7.08,0.7677,165
Symbicort,"Asthma, Maintenance",68,7.57,0.7546,2054
Montelukast,"Asthma, Maintenance",61,6.61,0.6986,1884
Pulmicort Flexhaler,"Asthma, Maintenance",5,6.8,0.6985,54
Albuterol,"Asthma, Maintenance",16,6.19,0.6972,183
Fluticasone,"Asthma, Maintenance",18,6.61,0.6926,258
Asmanex Twisthaler,"Asthma, Maintenance",11,7.45,0.6755,219
Flovent HFA,"Asthma, Maintenance",5,7.0,0.6648,66
Flovent,"Asthma, Maintenance",8,6.75,0.6528,159
Breo Ellipta,"Asthma, Maintenance",10,6.4,0.6381,81
Fluticasone / vilanterol,"Asthma, Maintenance",10,6.4,0.6381,81
Dulera,"Asthma, Maintenance",16,6.69,0.6266,354
Beclomethasone,"Asthma, Maintenance",32,5.72,0.6034,578
Mometasone,"Asthma, Maintenance",13,6.77,0.6034,222
Qvar,"Asthma, Maintenance",32,5.72,0.6034,578
Levalbuterol,"Asthma, acute",7,9.57,0.8579,60
Epinephrine,"Asthma, acute",7,9.57,0.8553,89
Primatene Mist,"Asthma, acute",6,9.5,0.8365,87
Methylprednisolone,"Asthma, acute",7,8.43,0.8304,151
Asthmanefrin,"Asthma, acute",7,8.14,0.7294,41
Racepinephrine,"Asthma, acute",10,7.8,0.6918,49
Ventolin,"Asthma, acute",8,6.75,0.6604,81
Albuterol,"Asthma, acute",55,3.95,0.4519,513
ProAir HFA,"Asthma, acute",5,3.4,0.3741,59
ProAir RespiClick,"Asthma, acute",28,1.21,0.2014,217
Clobetasol,Atopic Dermatitis,12,9.75,0.9763,210
Triamcinolone,Atopic Dermatitis,8,9.25,0.8885,152
Dupilumab,Atopic Dermatitis,6,8.67,0.834,81
Dupixent,Atopic Dermatitis,6,8.67,0.834,81
Elidel,Atopic Dermatitis,9,7.56,0.8328,86
Pimecrolimus,Atopic Dermatitis,10,7.5,0.8269,87
Betamethasone,Atopic Dermatitis,5,7.0,0.802,36
Crisaborole,Atopic Dermatitis,28,7.11,0.7726,446
Eucrisa,Atopic Dermatitis,28,7.11,0.7726,446
Protopic,Atopic Dermatitis,23,7.35,0.7009,681
Tacrolimus,Atopic Dermatitis,35,6.77,0.6812,781
Rythmol SR,Atrial Fibrillation,14,9.21,0.9055,577
Propafenone,Atrial Fibrillation,35,8.17,0.8468,1006
Flecainide,Atrial Fibrillation,66,7.91,0.7768,3869
Tambocor,Atrial Fibrillation,6,7.67,0.776,566
Diltiazem,Atrial Fibrillation,28,7.61,0.7573,1366
Sotalol,Atrial Fibrillation,28,7.46,0.722,1439
Multaq,Atrial Fibrillation,16,6.69,0.72,628
Metoprolol,Atrial Fibrillation,47,5.87,0.6809,1690
Dronedarone,Atrial Fibrillation,22,6.05,0.6394,637
Digoxin,Atrial Fibrillation,6,6.5,0.5745,312
Rivaroxaban,Atrial Fibrillation,20,6.15,0.5335,874
Xarelto,Atrial Fibrillation,20,6.15,0.5335,874
Carvedilol,Atrial Fibrillation,11,4.55,0.4659,217
Flecainide,Atrial Flutte,7,7.86,0.7291,129
Diltiazem,Atrial Flutte,8,4.75,0.4073,120
Estradiol,Atrophic Urethritis,13,4.85,0.4788,329
Estrace Vaginal Cream,Atrophic Urethritis,6,4.0,0.4376,169
Estrace Vaginal Cream,Atrophic Vaginitis,37,6.68,0.7306,3062
Estring,Atrophic Vaginitis,24,6.04,0.6975,298
Vagifem,Atrophic Vaginitis,18,7.33,0.665,846
Conjugated estrogens,Atrophic Vaginitis,5,7.4,0.5845,154
Estradiol,Atrophic Vaginitis,115,5.57,0.5788,4713
Yuvafem,Atrophic Vaginitis,29,3.07,0.2903,397
Dexmethylphenidate,Auditory Processing Disorde,5,7.0,0.7116,161
Aripiprazole,Autism,20,7.2,0.781,1147
Abilify,Autism,18,7.0,0.7723,1142
Risperidone,Autism,38,6.21,0.6499,2053
Risperdal,Autism,20,5.4,0.5631,1512
Geodon,Autism,8,4.88,0.536,92
Ziprasidone,Autism,8,4.88,0.536,92
Cyanocobalamin,B12 Nutritional Deficiency,5,10.0,0.8836,135
Voltaren,Back Pain,16,8.62,0.9282,535
Cataflam,Back Pain,6,8.83,0.9195,256
Lortab,Back Pain,37,8.59,0.9019,774
Lorcet 10 / 650,Back Pain,10,8.6,0.8972,237
Vicodin ES,Back Pain,5,9.2,0.8844,185
Norco,Back Pain,67,8.46,0.8839,3147
Acetaminophen / hydrocodone,Back Pain,182,8.23,0.8792,5637
Ibuprofen,Back Pain,9,7.22,0.839,143
Diclofenac,Back Pain,56,7.71,0.8318,1589
Ultram,Back Pain,19,8.05,0.8079,1794
Vicodin,Back Pain,12,6.75,0.7923,480
Relafen,Back Pain,7,7.57,0.79,526
Acetaminophen / pamabrom,Back Pain,12,9.0,0.7873,128
Aspirin,Back Pain,8,8.38,0.7747,143
Zipsor,Back Pain,10,7.2,0.7724,378
Duloxetine,Back Pain,25,7.0,0.7567,903
Tramadol,Back Pain,146,6.84,0.7514,5719
Cymbalta,Back Pain,22,6.73,0.7249,880
Naproxen,Back Pain,70,6.09,0.6685,1768
Aleve,Back Pain,26,6.35,0.6665,846
Nabumetone,Back Pain,17,6.18,0.6652,744
Rocephin,Bacterial Infection,17,8.71,0.8448,250
Keflex,Bacterial Infection,11,7.82,0.8424,548
Ceftriaxone,Bacterial Infection,19,8.37,0.8092,251
Vancomycin,Bacterial Infection,7,7.71,0.7576,195
